Account,City,State,Property Type,Servicer,Servicer Type,Loan Type,UnPaid Balance,0,30,60,90,REO,Current Prop Value,LTV,Avg OEP,Unemployment,Avg Values,Inventory,Days on Market
ACCT_4293,Las Vegas,NV,MF,Fifth Third,Thrift,FR,192172,,,1,,,165000,$1.17,-0.16,7.10%,"$224,700","22,781",120
ACCT_4294,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,150121,,,,1,,120000,$1.25,-0.25,7.20%,"$187,345","24,341",240
ACCT_4295,Las Vegas,NV,SFA,Wells,Bank,ARM,550000,,,1,,,470000,$1.17,-0.17,7.20%,"$187,345","24,341",240
ACCT_4296,Las Vegas,NV,CO,First Horizon,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4297,Las Vegas,NV,MF,Wells,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4298,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4299,Las Vegas,NV,CO,Wells,Bank,FR,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4300,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,192172,,,1,,,180000,$1.07,-0.07,7.20%,"$187,345","24,341",240
ACCT_4301,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,150121,,,1,,,125000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4302,Las Vegas,NV,CO,Wells,Bank,ARM,550000,,1,,,,525000,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4303,Las Vegas,NV,CO,First Horizon,Mtg Company,ARM,192172,1,,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_4304,Las Vegas,NV,MF,Wells,Bank,FR,240287,1,,,,,296515,$0.81,0.19,10.60%,"$43,125","15,373",197
ACCT_4305,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,325924,,1,,,,219316,$1.49,-0.49,10.60%,"$43,125","15,373",197
ACCT_4306,Las Vegas,NV,SFA,Wells,Bank,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_4307,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,192172,,1,,,,196481,$0.98,0.02,6.30%,"$176,891","36,800",145
ACCT_4308,Las Vegas,NV,SFA,Wells,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4309,Las Vegas,NV,CO,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4310,Las Vegas,NV,MF,Fifth Third,Thrift,ARM,192172,,,1,,,160000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4311,Las Vegas,NV,SFA,BofA,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4312,Las Vegas,NV,MF,Fifth Third,Thrift,ARM,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4313,Las Vegas,NV,SFA,BofA,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4314,Las Vegas,NV,CO,Fifth Third,Thrift,FR,192172,,,1,,,150505,$1.28,-0.28,7.20%,"$187,345","24,341",240
ACCT_4315,Las Vegas,NV,MF,BofA,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4316,Las Vegas,NV,SFA,Fifth Third,Thrift,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4317,Las Vegas,NV,SFA,BofA,Bank,ARM,192172,,1,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_4318,Las Vegas,NV,SFA,PHH,Mtg Company,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_4319,Las Vegas,NV,CO,Chase,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_4320,Las Vegas,NV,CO,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_4321,Las Vegas,NV,MF,Chase,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_4322,Las Vegas,NV,SFA,PHH,Mtg Company,FR,150121,,1,,1,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_4323,Las Vegas,NV,SFA,Chase,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,6.30%,"$176,891","36,800",145
ACCT_4324,Las Vegas,NV,CO,PHH,Mtg Company,FR,192172,,,1,,,169000,$1.14,-0.14,7.20%,"$187,345","24,341",240
ACCT_4325,Las Vegas,NV,MF,PHH,Mtg Company,ARM,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4326,Las Vegas,NV,SFA,Chase,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4327,Las Vegas,NV,CO,PHH,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4328,Las Vegas,NV,MF,Chase,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4329,Las Vegas,NV,SFA,PHH,Mtg Company,FR,150121,1,,,,,200000,$0.75,0.25,7.20%,"$187,345","24,341",240
ACCT_4330,Las Vegas,NV,CO,Chase,Bank,FR,550000,1,,,,,650000,$0.85,0.15,7.20%,"$187,345","24,341",240
ACCT_4331,Las Vegas,NV,CO,PHH,Mtg Company,FR,192172,,,1,,,171171,$1.12,-0.12,7.20%,"$187,345","24,341",240
ACCT_4332,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,150121,1,,,,,230000,$0.65,0.35,10.60%,"$43,125","15,373",197
ACCT_4333,Las Vegas,NV,SFA,Wells,Bank,FR,550000,,1,,,,545545,$1.01,-0.01,10.60%,"$43,125","15,373",197
ACCT_4334,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,10.60%,"$43,125","15,373",197
ACCT_4335,Las Vegas,NV,CO,Wells,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,7.10%,"$224,700","22,781",120
ACCT_4336,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,325924,1,,,,,340000,$0.96,0.04,7.20%,"$187,345","24,341",240
ACCT_4337,Las Vegas,NV,CO,Wells,Bank,FR,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4338,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,192172,,1,,,,175123,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4339,Las Vegas,NV,SFA,Wells,Bank,ARM,192172,,,1,,,170000,$1.13,-0.13,7.20%,"$187,345","24,341",240
ACCT_4340,Las Vegas,NV,CO,First Horizon,Mtg Company,ARM,240287,,,1,,,200000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4341,Las Vegas,NV,MF,PHH,Mtg Company,ARM,192172,,1,,,,175000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4342,Las Vegas,NV,CO,National City,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4343,Las Vegas,NV,MF,EDS CU,Credit Union,FR,150121,,1,,1,,145000,$1.04,-0.04,7.20%,"$187,345","24,341",240
ACCT_4344,Las Vegas,NV,SFA,National City,Bank,FR,550000,,,1,,,475000,$1.16,-0.16,7.20%,"$187,345","24,341",240
ACCT_4345,Las Vegas,NV,SFA,EDS CU,Credit Union,FR,192172,,,1,,1,180000,$1.07,-0.07,7.20%,"$187,345","24,341",240
ACCT_4346,Las Vegas,NV,CO,National City,Bank,FR,150121,,1,,,,175000,$0.86,0.14,7.20%,"$187,345","24,341",240
ACCT_4347,Las Vegas,NV,CO,EDS CU,Credit Union,FR,550000,1,,,,,700000,$0.79,0.21,7.20%,"$187,345","24,341",240
ACCT_4348,Las Vegas,NV,CO,National City,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_4349,Las Vegas,NV,MF,National City,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_4350,Las Vegas,NV,SFA,EDS CU,Credit Union,FR,150121,,,,1,,101982,$1.47,-0.47,6.30%,"$176,891","36,800",145
ACCT_4351,Las Vegas,NV,SFA,National City,Bank,FR,550000,1,,,,,500000,$1.10,-0.1,6.30%,"$176,891","36,800",145
ACCT_4352,Las Vegas,NV,SFA,EDS CU,Credit Union,FR,192172,,,1,,,165000,$1.17,-0.16,7.20%,"$187,345","24,341",240
ACCT_4353,Las Vegas,NV,CO,National City,Bank,ARM,150121,,,,1,,120000,$1.25,-0.25,7.20%,"$187,345","24,341",240
ACCT_4354,Las Vegas,NV,SFA,EDS CU,Credit Union,ARM,550000,,,1,,,470000,$1.17,-0.17,7.20%,"$187,345","24,341",240
ACCT_4355,Las Vegas,NV,CO,National City,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4356,Las Vegas,NV,MF,PHH,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4357,Las Vegas,NV,SFA,Chase,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4358,Las Vegas,NV,CO,PHH,Mtg Company,FR,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4359,Las Vegas,NV,MF,Chase,Bank,FR,192172,,,1,,,180000,$1.07,-0.07,7.20%,"$187,345","24,341",240
ACCT_4360,Las Vegas,NV,MF,PHH,Mtg Company,FR,150121,,,1,,,125000,$1.20,-0.2,10.60%,"$43,125","15,373",197
ACCT_4361,Las Vegas,NV,SFA,Chase,Bank,ARM,550000,,1,,,,525000,$1.05,-0.05,10.60%,"$43,125","15,373",197
ACCT_4362,Las Vegas,NV,SFA,PHH,Mtg Company,ARM,192172,1,,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_4363,Las Vegas,NV,CO,Chase,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.10%,"$224,700","22,781",120
ACCT_4364,Las Vegas,NV,CO,PHH,Mtg Company,FR,325924,,1,,,,219316,$1.49,-0.49,7.10%,"$224,700","22,781",120
ACCT_4365,Las Vegas,NV,MF,National City,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_4366,Las Vegas,NV,MF,BofA,Bank,FR,192172,,1,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_4367,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,150121,,1,,,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4368,Las Vegas,NV,CO,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4369,Las Vegas,NV,MF,Fifth Third,Thrift,ARM,192172,,,1,,,160000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4370,Las Vegas,NV,SFA,BofA,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4371,Las Vegas,NV,CO,Fifth Third,Thrift,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4372,Las Vegas,NV,SFA,BofA,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4373,Las Vegas,NV,SFA,BofA,Bank,FR,192172,,,1,,,150505,$1.28,-0.28,7.20%,"$187,345","24,341",240
ACCT_4374,Las Vegas,NV,CO,Fifth Third,Thrift,FR,150121,,1,,,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4375,Las Vegas,NV,CO,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4376,Las Vegas,NV,MF,Fifth Third,Thrift,ARM,192172,,1,,,,196481,$0.98,0.02,10.60%,"$43,125","15,373",197
ACCT_4377,Las Vegas,NV,SFA,BofA,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_4378,Las Vegas,NV,SFA,Fifth Third,Thrift,ARM,325924,,,1,,,310281,$1.05,-0.05,6.30%,"$176,891","36,800",145
ACCT_4379,Las Vegas,NV,SFA,BofA,Bank,ARM,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_4380,Las Vegas,NV,SFA,National City,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4381,Las Vegas,NV,CO,EDS CU,Credit Union,FR,150121,,1,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4382,Las Vegas,NV,MF,National City,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4383,Las Vegas,NV,SFA,EDS CU,Credit Union,ARM,192172,,,1,,,169000,$1.14,-0.14,7.20%,"$187,345","24,341",240
ACCT_4384,Las Vegas,NV,MF,National City,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4385,Las Vegas,NV,SFA,EDS CU,Credit Union,FR,550000,,,1,,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4386,Las Vegas,NV,CO,National City,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4387,Las Vegas,NV,MF,EDS CU,Credit Union,FR,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4388,Las Vegas,NV,SFA,National City,Bank,FR,150121,1,,,,,200000,$0.75,0.25,7.20%,"$187,345","24,341",240
ACCT_4389,Las Vegas,NV,SFA,BofA,Bank,ARM,550000,1,,,,,650000,$0.85,0.15,7.20%,"$187,345","24,341",240
ACCT_4390,Las Vegas,NV,SFA,Wells,Bank,FR,192172,,,1,,,171171,$1.12,-0.12,10.60%,"$43,125","15,373",197
ACCT_4391,Las Vegas,NV,CO,First Horizon,Mtg Company,ARM,150121,1,,,,,230000,$0.65,0.35,7.10%,"$224,700","22,781",120
ACCT_4392,Las Vegas,NV,CO,Wells,Bank,ARM,550000,,1,,,,545545,$1.01,-0.01,7.10%,"$224,700","22,781",120
ACCT_4393,Las Vegas,NV,MF,First Horizon,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_4394,Las Vegas,NV,SFA,Wells,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,6.30%,"$176,891","36,800",145
ACCT_4395,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,325924,1,,,,,340000,$0.96,0.04,6.30%,"$176,891","36,800",145
ACCT_4396,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4397,Las Vegas,NV,MF,Wells,Bank,FR,192172,,1,,,,175123,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4398,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,192172,,,1,,,170000,$1.13,-0.13,7.20%,"$187,345","24,341",240
ACCT_4399,Las Vegas,NV,CO,Wells,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4400,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,192172,,1,,,,175000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4401,Las Vegas,NV,SFA,Wells,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4402,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,150121,,1,,1,,145000,$1.04,-0.04,7.20%,"$187,345","24,341",240
ACCT_4403,Las Vegas,NV,CO,Wells,Bank,FR,550000,,,1,,,475000,$1.16,-0.16,7.20%,"$187,345","24,341",240
ACCT_4404,Las Vegas,NV,MF,BofA,Bank,FR,192172,,,1,,1,180000,$1.07,-0.07,10.60%,"$43,125","15,373",197
ACCT_4405,Las Vegas,NV,SFA,Fifth Third,Thrift,ARM,150121,,1,,,,175000,$0.86,0.14,10.60%,"$43,125","15,373",197
ACCT_4406,Las Vegas,NV,SFA,BofA,Bank,ARM,550000,1,,,,,700000,$0.79,0.21,10.60%,"$43,125","15,373",197
ACCT_4407,Las Vegas,NV,CO,Fifth Third,Thrift,ARM,250638,1,,,,,275977,$0.91,0.09,7.10%,"$224,700","22,781",120
ACCT_4408,Las Vegas,NV,SFA,BofA,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4409,Las Vegas,NV,CO,Fifth Third,Thrift,FR,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4410,Las Vegas,NV,MF,BofA,Bank,FR,550000,1,,,,,500000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4411,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,192172,,,1,,,165000,$1.17,-0.16,7.20%,"$187,345","24,341",240
ACCT_4412,Las Vegas,NV,CO,BofA,Bank,FR,150121,,,,1,,120000,$1.25,-0.25,7.20%,"$187,345","24,341",240
ACCT_4413,Las Vegas,NV,MF,BofA,Bank,FR,550000,,,1,,,470000,$1.17,-0.17,7.20%,"$187,345","24,341",240
ACCT_4414,Las Vegas,NV,CO,Fifth Third,Thrift,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4415,Las Vegas,NV,MF,BofA,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4416,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4417,Las Vegas,NV,SFA,BofA,Bank,FR,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4418,Las Vegas,NV,CO,Fifth Third,Thrift,FR,192172,,,1,,,180000,$1.07,-0.07,7.20%,"$187,345","24,341",240
ACCT_4419,Las Vegas,NV,CO,BofA,Bank,ARM,150121,,,1,,,125000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4420,Las Vegas,NV,CO,BofA,Bank,ARM,550000,,1,,,,525000,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_4421,Las Vegas,NV,MF,Fifth Third,Thrift,ARM,192172,1,,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_4422,Las Vegas,NV,SFA,BofA,Bank,FR,240287,1,,,,,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_4423,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,325924,,1,,,,219316,$1.49,-0.49,6.30%,"$176,891","36,800",145
ACCT_4424,Las Vegas,NV,SFA,BofA,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4425,Las Vegas,NV,CO,Fifth Third,Thrift,FR,192172,,1,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_4426,Las Vegas,NV,SFA,EDS CU,Credit Union,FR,150121,,1,,,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4427,Las Vegas,NV,CO,National City,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4428,Las Vegas,NV,MF,EDS CU,Credit Union,ARM,192172,,,1,,,160000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4429,Las Vegas,NV,SFA,National City,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4430,Las Vegas,NV,CO,EDS CU,Credit Union,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4431,Las Vegas,NV,MF,National City,Bank,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4432,Las Vegas,NV,MF,EDS CU,Credit Union,FR,192172,,,1,,,150505,$1.28,-0.28,10.60%,"$43,125","15,373",197
ACCT_4433,Las Vegas,NV,SFA,National City,Bank,FR,150121,,1,,,,101982,$1.47,-0.47,10.60%,"$43,125","15,373",197
ACCT_4434,Las Vegas,NV,SFA,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_4435,Las Vegas,NV,CO,Fifth Third,Thrift,ARM,192172,,1,,,,196481,$0.98,0.02,7.10%,"$224,700","22,781",120
ACCT_4436,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,150121,,1,,,,101982,$1.47,-0.47,7.10%,"$224,700","22,781",120
ACCT_4437,Las Vegas,NV,MF,Wells,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_4438,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4439,Las Vegas,NV,SFA,Wells,Bank,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4440,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,150121,,1,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4441,Las Vegas,NV,MF,Wells,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4442,Las Vegas,NV,SFA,First Horizon,Mtg Company,ARM,192172,,,1,,,169000,$1.14,-0.14,7.20%,"$187,345","24,341",240
ACCT_4443,Las Vegas,NV,CO,Wells,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4444,Las Vegas,NV,SFA,Wells,Bank,ARM,550000,,,1,,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4445,Las Vegas,NV,SFA,First Horizon,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4446,Las Vegas,NV,CO,Wells,Bank,FR,240287,,,,,1,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4447,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,150121,1,,,,,200000,$0.75,0.25,7.20%,"$187,345","24,341",240
ACCT_4448,Las Vegas,NV,MF,Wells,Bank,ARM,550000,1,,,,,650000,$0.85,0.15,10.60%,"$43,125","15,373",197
ACCT_4449,Las Vegas,NV,SFA,First Horizon,Mtg Company,ARM,192172,,,1,,,171171,$1.12,-0.12,10.60%,"$43,125","15,373",197
ACCT_4450,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,150121,1,,,,,230000,$0.65,0.35,6.30%,"$176,891","36,800",145
ACCT_4451,Las Vegas,NV,SFA,BofA,Bank,FR,550000,,1,,,,545545,$1.01,-0.01,6.30%,"$176,891","36,800",145
ACCT_4452,Las Vegas,NV,SFA,Fifth Third,Thrift,FR,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4453,Las Vegas,NV,CO,BofA,Bank,FR,240287,,,1,,,200000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4454,Las Vegas,NV,MF,Fifth Third,Thrift,FR,325924,1,,,,,340000,$0.96,0.04,7.20%,"$187,345","24,341",240
ACCT_4455,Las Vegas,NV,SFA,BofA,Bank,ARM,550000,,,,1,,449533,$1.22,-0.22,7.20%,"$187,345","24,341",240
ACCT_4456,Las Vegas,NV,MF,Fifth Third,Thrift,FR,192172,,1,,,,175123,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4457,Las Vegas,NV,SFA,BofA,Bank,ARM,192172,,,1,,,170000,$1.13,-0.13,7.20%,"$187,345","24,341",240
ACCT_4458,Las Vegas,NV,CO,Wells,Bank,ARM,240287,,,1,,,200000,$1.20,-0.2,7.20%,"$187,345","24,341",240
ACCT_4459,Las Vegas,NV,MF,First Horizon,Mtg Company,ARM,192172,,1,,,,175000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4460,Las Vegas,NV,SFA,PHH,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4461,Las Vegas,NV,SFA,Chase,Bank,FR,150121,,1,,1,,145000,$1.04,-0.04,7.20%,"$187,345","24,341",240
ACCT_4462,Las Vegas,NV,SFA,PHH,Mtg Company,FR,550000,,,1,,,475000,$1.16,-0.16,10.60%,"$43,125","15,373",197
ACCT_4463,Las Vegas,NV,CO,Chase,Bank,FR,192172,,,1,,1,180000,$1.07,-0.07,7.10%,"$224,700","22,781",120
ACCT_4464,Las Vegas,NV,CO,PHH,Mtg Company,FR,150121,,1,,,,175000,$0.86,0.14,7.10%,"$224,700","22,781",120
ACCT_4465,Las Vegas,NV,MF,Chase,Bank,FR,550000,1,,,,,700000,$0.79,0.21,7.10%,"$224,700","22,781",120
ACCT_4466,Las Vegas,NV,SFA,PHH,Mtg Company,FR,250638,1,,,,,275977,$0.91,0.09,6.30%,"$176,891","36,800",145
ACCT_4467,Las Vegas,NV,SFA,Chase,Bank,FR,240287,,,,,1,296515,$0.81,0.19,6.30%,"$176,891","36,800",145
ACCT_4468,Las Vegas,NV,CO,Chase,Bank,FR,150121,,,,1,,101982,$1.47,-0.47,7.20%,"$187,345","24,341",240
ACCT_4469,Las Vegas,NV,MF,PHH,Mtg Company,FR,550000,1,,,,,500000,$1.10,-0.1,7.20%,"$187,345","24,341",240
ACCT_4470,Las Vegas,NV,SFA,Chase,Bank,FR,192172,,,1,,,165000,$1.17,-0.16,7.20%,"$187,345","24,341",240
ACCT_4471,Las Vegas,NV,CO,PHH,Mtg Company,ARM,150121,,,,1,,120000,$1.25,-0.25,7.20%,"$187,345","24,341",240
ACCT_4472,Las Vegas,NV,MF,Chase,Bank,ARM,550000,,,1,,,470000,$1.17,-0.17,7.20%,"$187,345","24,341",240
ACCT_4473,Las Vegas,NV,SFA,PHH,Mtg Company,ARM,250638,1,,,,,275977,$0.91,0.09,7.20%,"$187,345","24,341",240
ACCT_4474,Las Vegas,NV,CO,First Horizon,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
ACCT_4475,Las Vegas,NV,CO,Wells,Bank,FR,325924,,,1,,,310281,$1.05,-0.05,7.20%,"$187,345","24,341",240
ACCT_4476,Las Vegas,NV,MF,First Horizon,Mtg Company,FR,550000,,,,1,,449533,$1.22,-0.22,10.60%,"$43,125","15,373",197
ACCT_4477,Las Vegas,NV,SFA,Wells,Bank,FR,192172,,,1,,,180000,$1.07,-0.07,10.60%,"$43,125","15,373",197
ACCT_4478,Las Vegas,NV,SFA,First Horizon,Mtg Company,FR,150121,,,1,,,125000,$1.20,-0.2,10.60%,"$43,125","15,373",197
ACCT_4479,Las Vegas,NV,CO,Wells,Bank,FR,550000,,1,,,,525000,$1.05,-0.05,7.10%,"$224,700","22,781",120
ACCT_4480,Las Vegas,NV,SFA,First Horizon,Mtg Company,ARM,192172,1,,,,,196481,$0.98,0.02,7.20%,"$187,345","24,341",240
ACCT_4481,Las Vegas,NV,CO,PHH,Mtg Company,FR,240287,1,,,,,296515,$0.81,0.19,7.20%,"$187,345","24,341",240
